Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
307,Shri  Madhu  Koda,72,36,1,Jharkhand,IND,
308,Choudhury Mohan  Jatua,17,36,1,West Bengal,AITC,
309,Shri  S.K. Nurul  Islam,123,164,1,West Bengal,AITC,
310,Shri    Ramkishun,253,45,1,Uttar Pradesh,SP,
311,Shri  Rakesh  Sachan,250,37,1,Uttar Pradesh,SP,
312,Smt.  Raj Kumari  Chauhan,243,44,0,Uttar Pradesh,BSP,
313,Smt.  Kaisar  Jahan,177,110,0,Uttar Pradesh,BSP,
314,Shri  P.R.  Natarajan,253,34,1,Tamil Nadu,CPIM,
315,Adv.  A.  Sampath,223,64,1,Kerala,CPIM,
316,Shri  Manohar  Tirkey,173,114,1,West Bengal,RSP,
317,Shri  M.  Anandan,255,32,1,Tamil Nadu,AIADMK,
318,Shri  Dinesh  Trivedi,160,127,1,West Bengal,AITC,
319,Shri  Gobinda Chandra  Naskar,231,30,1,West Bengal,AITC,
320,Shri  Premdas  Katheria,270,17,1,Uttar Pradesh,SP,
321,Shri  Dharmendra  Yadav,215,72,1,Uttar Pradesh,SP,
322,Shri  Neeraj  Shekhar,268,19,1,Uttar Pradesh,SP,
323,Shri    Gorakhnath  Pandey,271,16,1,Uttar Pradesh,BSP,
324,Shri  Dhananjay  Singh,194,93,1,Uttar Pradesh,BSP,
325,Smt.  Susmita  Bauri,272,15,0,West Bengal,CPIM,
326,Dr.  Anup Kumar  Saha,258,29,1,West Bengal,CPIM,
327,Shri  Pulin Bihari  Baske,264,23,1,West Bengal,CPIM,
328,Shri  K.  Sugumar,243,44,1,Tamil Nadu,AIADMK,
329,Shri  Ambica  Banerjee,189,72,1,West Bengal,AITC,
330,Shri    Suvendu   Adhikari,71,216,1,West Bengal,AITC,
331,Smt.  Usha  Verma,247,40,0,Uttar Pradesh,SP,
332,Shri  Bal Kumar  Patel,241,46,1,Uttar Pradesh,SP,
333,Shri  Rakesh  Pandey,244,43,1,Uttar Pradesh,BSP,
334,Shri  Gorakh Prasad  Jaiswal,244,43,1,Uttar Pradesh,BSP,
335,Sk.   Saidul  Haque,280,7,1,West Bengal,CPIM,
336,Shri  Mahendra Kumar  Roy,265,22,1,West Bengal,CPIM,
337,Shri  C.  Sivasami,203,84,1,Tamil Nadu,AIADMK,
338,Smt.  Satabdi  Roy,209,78,0,West Bengal,AITC,
339,Shri  Tapas  Paul,195,92,1,West Bengal,AITC,
340,Dr.  Sucharu Ranjan  Haldar,233,54,1,West Bengal,AITC,
341,Shri  Pakauri  Lal,245,42,1,Uttar Pradesh,SP,
342,Shri  Ghanshyam  Anuragi,269,18,1,Uttar Pradesh,SP,
343,Shri  Kamlesh  Balmiki,246,41,1,Uttar Pradesh,SP,
344,Shri  Arvind Kumar  Chaudhary,275,12,1,Uttar Pradesh,BSP,
345,Shri  Deoraj Singh  Patel,255,32,1,Madhya Pradesh,BSP,
346,Shri  Ramashankar  Rajbhar,274,13,1,Uttar Pradesh,BSP,
347,Shri  P. K.  Biju,243,44,1,Kerala,CPIM,
348,Shri  M. B.  Rajesh,271,16,1,Kerala,CPIM,
349,Shri  P.  Lingam,275,12,1,Tamil Nadu,CPI,
350,Shri  P.  Kumar,247,40,1,Tamil Nadu,AIADMK,
351,Dr.  Padamsinha  Bajirao  Patil,164,76,1,Maharashtra,NCP,
352,Dr.  Ratna  De (Nag),232,55,0,West Bengal,AITC,
353,Shri  Kabir  Suman,97,190,1,West Bengal,AITC,
354,Shri    Mithlesh Kumar,252,35,1,Uttar Pradesh,SP,
355,Shri  Yashvir  Singh,246,41,1,Uttar Pradesh,SP,
356,Shri  Radhey Mohan  Singh,213,74,1,Uttar Pradesh,SP,
357,Shri  Kapil Muni  Karwariya,237,50,1,Uttar Pradesh,BSP,
358,Shri  Surendra Singh  Nagar,226,61,1,Uttar Pradesh,BSP,
359,Shri  Kadir  Rana,158,129,1,Uttar Pradesh,BSP,Muzaffarnagar
360,Shri  Bibhu Prasad  Tarai,238,49,1,Orissa,CPI,Jagatsinghpur
361,Shri  Sakti  Mohan   Malik,263,24,1,West Bengal,CPIM,Arambagh
362,Shri  Prasanta Kumar  Majumdar,220,67,1,West Bengal,RSP,Balurghat
363,Shri  Mekapati Rajamohan  Reddy,138,90,1,Andhra Pradesh,YSRCP,Nellore
364,Dr.  Tarun  Mondal,210,77,1,West Bengal,SUCI,Jaynagar
365,Shri  Basudeb  Acharia,254,33,1,West Bengal,CPIM,Bankura
366,Shri  Sharad  Yadav,238,49,1,Bihar,JDU,Madhepura
367,Shri  Arjun Charan  Sethi,255,32,1,Orissa,BJD,Bhadrak
368,Shri  Anant Gangaram  Geete,200,87,1,Maharashtra,SS,Raigad
369,Shri  Ram Sundar  Das,253,34,1,Bihar,JDU,Hajipur
370,Shri  Bhartruhari  Mahtab,268,19,1,Orissa,BJD,Cuttack
371,Shri  P.  Karunakaran,215,72,1,Kerala,CPIM,Kasaragod
372,Shri  Chandrakant  Khaire,203,84,1,Maharashtra,SS,
373,Shri  Anandrao  Adsul,220,67,1,Maharashtra,SS,
374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh,268,19,1,Bihar,JDU,
375,Shri  K. Chandrasekhar  Rao,33,233,1,Andhra Pradesh,TRS,Mahbubnagar
376,Dr.  Rattan Singh  Ajnala,247,40,1,Punjab,SAD,
377,Shri  Prasanna  Kumar Patasani,235,52,1,Orissa,BJD,
378,Smt.  Bhavana  Gawali,196,91,0,Maharashtra,SS,
379,Shri  Dinesh Chandra  Yadav,265,22,1,Bihar,JDU,
380,Shri   Mangani Lal  Mandal,273,14,1,Bihar,JDU,
381,Shri  Inder Singh  Namdhari,650,96,1,Jharkhand,IND,
382,Smt.  Jaya Prada  Nahata,87,200,0,UP,SP,Rampur
383,Shri  Tathagata  Satpathy,204,83,1,Orissa,BJD,
384,Shri  Shivaji  Adhalrao Patil,121,166,1,Maharashtra,SS,
385,Dr.  Ranjan Prasad  Yadav,251,36,1,Bihar,JDU,
386,Capt.(Retd.)  Jainarayan Prasad  Nishad,235,52,1,Bihar,JDU,
387,Dr.  Monazir  Hassan,248,39,1,Bihar,JDU,
388,Shri  Nama Nageswara  Rao,244,17,1,Andhra Pradesh,TDP,Khammam
389,Smt.  Harsimrat Kaur  Badal,218,69,0,Punjab,SAD,Bathinda
390,Smt.  Paramjit Kaur  Gulshan,235,52,0,Punjab,SAD,Faridkot
391,Shri  Mohan  Jena,213,74,1,Orissa,BJD,Jajpur
392,Shri  Anand Prakash  Paranjpe,187,100,1,Maharashtra,SS,Kalyan
393,Shri  Jagdish  Sharma,242,45,1,Bigar,JDU,Jahanabad
394,Shri  Sushil Kumar  Singh,216,71,1,Bihar,JDU,Aurangabad
396,Shri  Narahari  Mahato,204,83,1,West Bengal,AIFB,Purulia
397,Shri  Ramesh  Rathod,143,118,1,Andhra Pradesh,TDP,Adilabad
398,Ms.  M. Vijaya  Shanthi,38,223,0,Andhra Pradesh,TRS,Medak
399,Shri  Pinaki  Misra,211,76,1,Andhra Pradesh,BJD,Puri
400,Shri  Baijayant  Panda,184,103,1,Orissa,BJD,Kendrapara
402,Shri  Vishwa Mohan  Kumar,237,50,1,Bihar,JDU,Supaul
403,Shri  Baidyanath Prasad  Mahto,263,24,1,Bihar,JDU,Valmiki Nagar
404,Shri  Angadi Suresh  Channabasappa,201,86,1,Karnataka,BJP,Belgaum
405,Shri  Ramen  Deka,250,37,1,Assam,BJP,Mangaldoi
406,Smt.    Rama Devi,246,41,0,Bihar,BJP,Sheohar
407,Shri  Nripendra Nath  Roy,204,83,1,West Bengal,AIFB,Cooch Behar
408,Shri  K. Narayana  Rao,224,63,1,Andhra Pradesh,TDP,Machilipatnam
409,Shri  Jayaram  Pangi,206,81,1,Orissa,BJD,Koraput
